Aqui está a transcrição completa do áudio baseada nos trechos fornecidos, com a identificação dos falantes: **Miquel** (Easypromos) e **Rodrigo** (Consultoria/Cliente).
**Miquel:** And and here I will say something like, okay, you can only participate in this scratch and win if you have completed the previous stage. Okay. Are you a Brazilian fan? Or even I can say you need a minimum score. But here I I said only to participate and and that's all. Okay. And for the scratch and win, I need at least list I need at least one uh price. So I will go to the price inventory and I will create a first price just uh by probability and I will say I don't know 10% this or no prehoke uh corola and we can say Okay, this will be for the our scratch and win. We have 10,000 units of code that we can give. And then we go to participation stages scratch and win. And I just as I want to show you the how to how I get the price. I will put here um all the probability for the price. Uh let me change the surface. of scratching. And now if I enable the test mode, I will be able to test my uh World Cup portal as if I were a final user. So I enter I have to uh log with my email. I'm not using any mail validation because this is just a demo. Yeah. As as this is my first time I have to register Mickey. I have red. I have read. And now I have these two games. I have Are you a real Brazilian fan? And the sketch and win. Okay, so let's go. Instructions. Which Brazilian player scored the fastest streak in World Cup history? Uh Ro,

**Rodrigo:** A probably

**Miquel:** perfect. Uh perfect. Finalize. I can enter again because I and and now if I go to the games, the system checks that I have already participated. This is unlocked. And now I can play my sketch and win and I will win a free app.

**Rodrigo:** Cool.

**Miquel:** And I have this coupon as you see uh this is just a very very basic erh workflow because or user flow and it can be totally uh it can be much more complicated. For instance, imagine that instead of giving a free code you you give a unique code or you give uh I don't know a boat that can be redeemed in any of the locations of the of Coca-Cola or things like that. Okay. So, yeah.

**Rodrigo:** Or maybe it can redirect automatically to to a sponsor app for example orite and when something Yeah.

**Miquel:** Exactly. Exactly. And the important thing also is that if we exit the editor then you will have here the list of all users. and the the all the things that they have done. So in other words, you have zero party data and you have first party data and all this information can be download in a CSV file or it can you many we have many integrations with popular CRM like HubSpot, Cladio uh what else don't know marketing automation tool like like our mailing things like that or um you can use Zapier or make and finally we have an uh API and web hooks where you can extract that information programmatically.

**Rodrigo:** Okay, cool. Okay. And all all that data belongs to our client.

**Miquel:** Sure. Sure. Sure. We are we are just the data processors. So it means that we are only using this data to make the promotion available for everyone. But the owner of the data is your client.

**Rodrigo:** Yeah. Okay.

**Miquel:** Okay. And that would be uh a general introduction about easy promo. So I wanted to show you how easy is to create uh um any action from scratch. You have uh lots of um let's say customizable options. And and the good thing is that imagine that you want to show something your to client uh instead of creating a PowerPoint, you can show them directly a demo. You don't need to pay for the license. You just do all your things, create a basic um look and feel and then you can show them the the demo.

**Rodrigo:** Perfect. Yeah, I think I I can use that to try to show an example, right, of what we can do at Easy Pros. Um and let me ask you um another thing about the rankings. and and leagues that you you showed um in the mail you said that it wasn't possible right to go with um private leagues or have more than one league in each um tournament for example right?

**Miquel:** no we are we are close we are close to that but we don't we don't have that and why I said we are close uh we have our rankings And in our ranking we have a search search bar and in that search bar you can find your friends and you can say okay Rodrigo is playing. So I create I look for Rodrigo and I add Rodrigo to a temporary ranking and I will have the list of my uh I don't know four or five friends and I will be able to see all the ranking in that temporary view but I'm not able to save that temporary view into a private league or something like that. So, uh we have tools as I told you to help users group their friends for a temporary view, but we don't have a private leaks.

**Rodrigo:** The temporary league that you're calling it may be temporar temporarily for

**Miquel:** for the session for the session just as as long as you are watching at the at the rankings. But there is not there is not any way leave the p the page and then you come back that's not there anymore. Okay. But but for instance imagine that um for us it would be quite hard to create a very complete uh private private leak system. But something that we could do is okay create your own ranking. So once I have created the ranking with my friends we could add the option to save that ranking and and you it's not a full parable leak um functionality but you will have the list of at the end is the same is okay I want to see uh the ranking of my friends that's that's um when when I was trying what what what I was trying to explain in that email is that we don't do do custom development but we are able to do this quite or what we call quick wins something that if your client say no no this isn't a stop And maybe you can say okay but we can offer that. How do you see the the the problem is not is not that we are not able to develop very quick but as we have to make sure that this is robust uh antihacker and all that all the yeah it takes it takes a lot of time.

**Rodrigo:** Yeah. Yeah. I I I can imagine um Yeah. Because one of the the possible um um opportunities that we studied in the last weeks is that um the the power of sharing and the relability on social media that's really really strong on our client side. Um just for you to to understand at 2022 um this client did something um similar um as a prediction game but he didn't have rights um of of from the World Cup on to show I mean he had rights but only a few matches and he sponsored with he he developed with the sponsor and they reached like 8 million different um um unique users playing the the prediction game and this this this um this year now they have 100% of the game they're going to to showcase everything and it's expected at least 20 million um different users throughout all the from pre pre-World Cup until to the end. And we one of the the the things that we we bet a lot that would we want to to maybe try to understand further What we can achieve with that is to actually have that um not on not not a private league. A private league it's like it's it's an option but um to I'm trying to think of a a good example um let's go back to the retailer sponsor that has um a database that has some of those those clients that are part of the loyalty program. So let's say that if you are part of the loyalty program You can create your own um public league um and then you can put people inside your public league, but that's like totally um up to you and you can put prizes in that. It it it it's like a system that everyone can um create their own league without um the without having real connection to the the the official one. They can create one and for example uh store can create its own league and all the the loyalty programs u users can register and participate in that league and and win prizes from that store for example. So so we have a a uh like a play a a retailer that has um loyal um users there that will be very much interested in winning the prizes from the store that they are loyal to and not exactly they they won't they will be happy um competing for other things from the official league that has much more people and much harder to to win something. So that's kind of something that we were betting on a lot but as I said we're still exploring everything.

**Miquel:** Yeah. Yeah. I I see I see your vision that that's something uh that at this at this point I feel very very challenging but I don't know everything goes so fast that maybe uh there's someone that has created something like that but in the in this case what from my point of view I would say okay there is a national league okay this is then there are this group of chain of of stores that want to create their own league okay uh can create that using easy promos because it's just $399 and you have everything. Um, but I say that from a business point of view, maybe it's worthy for for you to go for the big big client with the uh full proposal and then go to the retail stores, chains and all that with this more focused proposal. But yeah. Okay.

**Rodrigo:** And just an ask you another thing. So I see that that maybe it's a little challenging, but if we had um one mo one multi- prediction game um that has the the public ranking with everyone, but with just just one other public ranking, let's say it's a sponsor ranking with for for the law um persons just only one. Is it possible that we can create um in one um prediction game uh a ranking with everyone that has like I I'm totally guessing here like $100,000 in prize and another one that is dedicated to the loyalty program users that has like $1 million prizes. I don't know.

**Miquel:** Yeah, it can be done. It can be done. Uh uh using our uh segment tool. So it means that at some point of the process we should we should know if one person is it comes from the loyalty program or not and as I told you there are many ways to do that even we can imagine that when you register we can uh we have an API service that uh we have an API that allows in the moment of registration There should be a web service from your loyalty program that says okay if I'm sending you this this email account can you tell me if that email account is part of the loyal program or not and at that moment we assign the segment and then we could we could use a ranking for the general public and a ranking for the uh users that are with that particular segment. And at this moment at this moment if you if you go to our ranking documentation you will not see anything about segments because that's that's something that it's not there but putting a a ranking based on segment is something quite straightforward it could be done in a couple of days for us so this is the kind of developments that we could include in the final proposal.

**Rodrigo:** right okay that's clear okay um so I think that for for our first talk that's it right

**Miquel:** Mhm. Yeah, we have talked about many things. Uh let's do one thing. I will be sending you an email with a summary of what what we have talked with some links, examples and some other um football related uh promotions and I as I know that you are exploring other options or if you have any question or if you want to do another call with me, I'm totally open and super happy to uh give you all the information that you need from core site.

**Rodrigo:** That's great. Thank you so much for your time.

**Miquel:** Thank you.
